Question,Answer,Explanation
The following is characteristic of patients with Ewing  sarcoma:  ,E,"Ewing sarcoma is more common in Caucasians, and rare in patients of African or Asian descent. It is most commonly associated with an 11;22 chromosomal translocation. Both classical Ewing sarcoma and PNET are felt to be similar entities, and both are now classified as part of the Ewing family of tumors and treated similarly. Ewing sarcoma can commonly present with a soft tissue mass. The pathologi cal response to neoadjuvant chemotherapy can be predic tive of survival."
The following is true regarding classic chondrosarcoma:  ,A,"Chondrosarcomas are a heterogeneous group of tumors that characteristically produce a cartilage matrix with calcification and myxoid changes. Clinical behavior is de pendent on grade, and treatment is predominantly surgi cal resection. They are the second most common primary tumor of bone and predominantly arise in older individu als (>50 years of age), with an equal distribution amongst males and females. The pelvis is most commonly affected; the femur, ribs, and humerus are other common sites. They can arise in preexisting benign lesions, such as multiple enchondromas (Ollier disease or Maffucci disease) or with multiple hereditary osteochondromas."
What factor has been shown to correlate with survival  benefit regarding neoadjuvant chemotherapy for osteosar - coma,E,"Neoadjuvant chemotherapy has been shown to be of benefit for patients with primary osteosarcoma. Those patients who, on histopathological review, have greater than 90% tumor necrosis appear to have an improved survival. Adding ifosfamide for patients with a poor pathological response has not been shown to be benefi cial. Although approved in Europe, the addition of mi furmatide has not definitively been shown to add to im proved survival, especially in those patients with a poor pathological response. Pegylated interferon in the EURA MOS Randomized Study was not shown to be of benefit for pathological good responders. A significant number of patients were unable to complete the 2 years of treat ment because of toxicity."
"An 18-year-old runner develops pain over the right lower  thigh. He begins walking with a limp and is taking ibu - profen. Continuing symptoms lead the patient to an emer - gent-care facility. An x-ray shows an abnormality in the  distal femur. He is referred to an orthopedic oncologist.  An MRI shows a 6 × 5 cm cystic lesion of the left distal fe - mur. A CT-guided core needle biopsy reveals a high-grade  osteosarcoma. Bloodwork, including a CBC and a CMP , is  normal. Further workup for this patient should include:  ",A,"After diagnosis of a primary osteosarcoma, further workup should include a CT scan of the chest and a bone scan. The patient is at risk for the development of lung metastases as well as skip bone lesions. It is extremely rare for osteosarcoma to involve lymph nodes or metastasize to the abdomen or brain.Bone and Soft Tissue Sarcoma 220"
"An 18-year-old college student presents to the health  center with shoulder pain, swelling, and a low-grade fe - ver. Physical exam reveals a large and firm scapular mass.  Blood work is significant for both the elevated erythrocyte  sedimentation rate and a high lactate dehydrogenase con - centration. Radiographic evaluation of the mass shows a  very large permeative lucent lesion of the scapula with evi - dence of soft tissue involvement. Pathological examination  of the patient’s tumor will most likely reveal:  ",C,"This young man’s history of a fast growing tumor of the scapula, an elevated sedimentation rate and LDH, and x rays showing a permeative lucent lesion are suggestive of a small round blue cell tumor consistent with Ewing sar coma. Immunohistochemical staining for CD99 (mic2 anti gen) and glycogen is usually positive. In order to confirm the diagnosis, one should send out tissue for chromosomal analysis. Ewing sarcoma is most often associated with a t11;22 chromosomal translocation. The treatment of choice should be aggressive chemotherapy with vincristine, adri amycin, cyclophosphamide (VAC) alternating with IE for several cycles, followed by surgical resection and then ad ditional alternating chemotherapy with VAC/IE. BIBLIOGRAPHY"
"A 72-year-old man with no significant past medical history  presents with worsening pain in his lower back. Computed  tomography (CT) and bone scans show innumerable os - teoblastic lesions throughout the appendicular skeleton.  MRI of the spine reveals no evidence of cord compression.  Prostate-specific antigen (PSA) is elevated at 107 ng/mL.  Multiple attempts are made to biopsy the bone lesions, but  insufficient samples are obtained for histological diagnosis.  Which of the following is the next best step in management",B,"The patient has metastatic prostate cancer with multiple bone metastases and should be treated with combined ADT and docetaxel per the results of the CHAARTED trial, which demonstrated significant improvement in overall survival compared with ADT alone. Tissue diagno sis is typically preferable before initiating chemotherapy; however, an elevated PSA with osteoblastic lesions in an older man is consistent with a diagnosis of metastatic pros tate cancer. Enzalutamide and abiraterone are approved in metastatic castrate resistant prostate cancer only. Carbopl atin and paclitaxel would be an appropriate regimen for metastatic squamous cell carcinoma of unknown primary."
Which of the following should be included in the  further evaluation of this patient,C,"This patient’s clinical presentation is consistent with a stage III embryonal carcinoma, a nonseminomatous germ cell tumor, due to nonregional nodal metastatic disease. Recognition of the diagnosis of a germ cell tumor is im portant, as it is often curable with systemic chemotherapy despite the presence of metastatic disease. OCT3/4 and SOX2 are most commonly expressed in embryonal carci noma. Upfront PET and bone scans are not indicated in the workup for patients with germ cell tumors (PET CT scans can be useful later on in the evaluation of residual masses following primary chemotherapy). Pleural biopsy has no role in the evaluation of this patient. Retroperito neal lymph node dissection is indicated in patients with nonseminomatous germ cell tumors with residual retrop eritoneal masses following systemic chemotherapy."
Bilateral diagnostic  mammography and breast MRI are negative. The patient is  currently deemed too high of a surgical risk for any surgi - cal interventions given her recent myocardial infarction. A  colonoscopy 1 year ago was unremarkable. Which of the  following is the most appropriate management,B,"The patient has an adenocarcinoma of unknown primary with peritoneal carcinomatosis and elevated CA 125. Giv en this presentation, the patient should be treated as if she has an ovarian primary. Treatment would ideally involve optimal surgical debulking with overall curative intent; however, any potential surgical intervention will have to be postponed in this patient due to a recent myocardial infarction. Thus, systemic therapy with carboplatin and paclitaxel is most appropriate at this time. FOLFOX chem otherapy would be a good choice if she had metastatic colorectal cancer, but her presentation is more consistent with ovarian cancer, and treatment for metastatic colorec tal cancer with peritoneal carcinomatosis would be with palliative intent. Intraperitoneal cisplatin is only indicated for patients with optimally debulked stage II or III ovarian cancer, and is generally given in combination with intrave nous cisplatin and paclitaxel. Olaparib would be indicated only after failure of multiple lines of therapy for ovarian cancer. Capecitabine would be an appropriate choice for metastatic breast cancer with peritoneal carcinomatosis."
5 cm node and do not reveal any other suspicious  lesions. Positron emission tomography (PET)/CT scan  shows focal uptake in the left axilla (SUVmax 15) but in no  other locations. Which of the following is the next best step  in management,C,"Adenocarcinoma within an isolated axillary lymph node frequently represents occult breast cancer in women. This patient with clinical T0N1M0 disease should undergo ei ther mastectomy with axillary lymph node dissection, or axillary lymph node dissection followed by radiation. En doscopies may be useful in evaluating an occult primary in a cervical lymph node, but they should not be utilized in this patient. A bone scan is unlikely to reveal occult osse ous metastases in the setting of a negative PET CT. Medi astinoscopy is used to evaluate mediastinal nodal disease in patients with lung cancer and does not have a role in this scenario. Skin examination may be useful in finding a primary melanoma lesion, but it is more likely that this patient has axillary breast cancer given histology consist ent with adenocarcinoma."
"A 64-year-old man with a 40-pack-year smoking history,  multivessel coronary artery disease, and congestive heart  failure (left ventricular ejection fraction of 30%) presents  with dyspnea and nonproductive cough from a recurrent  right-sided pleural effusion. Pleural fluid cytology from a  thoracentesis specimen reveals epithelioid cells with posi - tive immunohistochemical stains for CK5/6, WT1, and  calretinin. CT of the chest, abdomen, and pelvis shows no  other abnormalities other than the effusion. The patient is  deemed not a surgical candidate due to his cardiac comor - bidities. He has normal renal and hepatic function. Which of  the following is the best treatment option for this patient",A,"The patient’s clinical presentation is consistent with ma lignant pleural mesothelioma (MPM) as evidenced by pleural fluid cytology positive for CK5/6, WT1, and cal retinin. Mesothelin would also likely be positive. Diagno sis may also warrant a video assisted thoracoscopic sur gery (VATS) with pleural biopsy; however, this patient has been deemed not to be a surgical candidate. The standard of care treatment for inoperable MPM consists of plati num plus pemetrexed, with or without bevacizumab. In this patient with multiple comorbidities, carboplatin may be used instead of cisplatin, based on multiple phase II studies. Carboplatin in combination with paclitaxel, gem citabine, or etoposide would be appropriate treatments in metastatic non small cell lung cancer (in the absence of an actionable EGFR mutation and ALK or ROS1 rearrange ments). Pembrolizumab is indicated in untreated patients with metastatic lung adenocarcinoma with PD L1 expres sion above 50% and negative or unknown EGFR , ALK , and ROS1 status."
No viable tumor specimen remains for further analy - sis. Serum PSA is within normal limits. Colonoscopy and  upper endoscopy are performed with no significant find - ings noted. What is the next best step in management,C,"The patient has an adenocarcinoma of unknown primary with multiple liver metastases. Given the immunohisto chemical staining pattern, the patient most likely has met astatic colorectal cancer. Thus, the patient should receive systemic chemotherapy with a fluoropyrimidine based reg imen. A repeat liver biopsy is unlikely to yield additional in formation. Liver MRI may help distinguish metastases from multifocal hepatocellular carcinoma, but this diagnosis is unlikely as the tumor is CK20 negative. It is unlikely that an exploratory laparotomy would reveal new diagnostic infor mation, and it would not change the staging as metastatic disease has already been demonstrated. Fecal occult blood testing is not indicated in the setting of negative endosco pies, and metastatic small bowel adenocarcinoma would be managed similarly to metastatic colorectal cancer.Unknown Primary Site 226"
"A 57-year-old woman who has never smoked presents with  a painless left-sided neck mass. Fine needle aspiration of a  level 2 lymph node reveals squamous cell carcinoma that  stains positive for p16 on immunohistochemistry. A PET- CT scan does not reveal the source of the primary lesion,  and there is no evidence of distant metastatic disease. This  malignancy should be approached most similarly to which  of the following primary tumor sites",E,"The patient’s isolated p16 positive squamous cell carcino ma in a cervical lymph node most likely reflects a human papillomavirus (HPV) associated head and neck primary tumor. Thus, management options for this patient include primary neck dissection followed by adjuvant radiation with or without chemotherapy or upfront chemoradiation followed by observation or neck dissection. Cervical and anal squamous cell carcinoma may also be HPV associated and stain positive for p16, but there would likely be other evidence of regional lymphadenopathy. Breast, lung, and esophageal cancers are generally not associated with HPV ."
"A 72-year-old man with a 30-pack-year smoking history  presents with a 20-pound unintentional weight loss over  the last 3 months. He is physically active and continues  to walk 1 mile every day. PET-CT reveals multiple FDG- avid bilobar liver lesions (SUVmax 18), but no other areas  of abnormal FDG uptake. Core biopsy of one of the liver  lesions reveals poorly differentiated adenocarcinoma, and  immunohistochemical stains are positive for TTF-1, CK7,  and napsin A, and negative for chromogranin and synap - tophysin. Testing for EGFR  mutations, ALK , and ROS-1   rearrangements are negative. PD-L1 staining is 0%. Brain  MRI shows no abnormalities. Which of the following is the  next best step in management",A,"The patient has multiple liver metastases from an occult lung adenocarcinoma, manifested by positive TTF 1, CK7, and napsin A staining in a patient with a heavy smoking history. As the PD L1 expression is below 50%, first line pembrolizumab is not indicated. Standard of care for pre viously untreated metastatic non small lung cancer would thus consist of a platinum (cisplatin or carboplatin) in com bination with bevacizumab and paclitaxel or pemetrexed. Chromogranin and synaptophysin stains would be posi tive in a patient with small cell lung cancer, in which case cisplatin and etoposide would be appropriate treatment for extensive stage disease. Gemcitabine and nab pacli taxel or FOLFOX and bevacizumab would be appropriate regimens for patients with previously untreated metastatic pancreatic adenocarcinoma or metastatic colorectal adeno carcinoma, respectively."
2 cm node with similar pathology and evidence  of extranodal extension. Which of the following is the next  best step in management,D,"The patient has squamous cell carcinoma of unknown pri mary, manifested by positive staining for CK5/6 and p63, and negative for CK7 and CK20. This cancer likely arose from the anogenital tract. He only has one isolated area of unilateral inguinal lymph node involvement, but extranod al extension places him at a higher risk of cancer recurrence; thus, adjuvant radiation therapy to the nodal basin should be offered. Carboplatin and paclitaxel could be an appro priate option following radiation therapy. Doxorubicin is an appropriate treatment for systemic Kaposi sarcoma, which this patient does not have. Retroperitoneal dissection may be indicated in germ cell tumors, but not in this case. Observation would be inappropriate given extranodal ex tension seen at the time of lymph node dissection."
"A 67-year-old woman with a 60-pack-year smoking histo - ry presents with a 15-pound unintentional weight loss and  worsening right upper quadrant pain over the last month.  CT of the chest, abdomen, and pelvis reveals multiple bilo - bar hepatic lesions and no other signs of malignancy. CT- guided core needle biopsy reveals poorly differentiated  carcinoma cells that stain positive for synaptophysin and  chromogranin on immunohistochemical analysis with a  Ki67 proliferation index of 70%. A brain MRI is negative  for metastatic disease, and PET-CT and octreotide scans  only show the previously identified liver lesions. Which of  the following is the next best step in management",E,"The patient has metastatic poorly differentiated neuroen docrine carcinoma of unknown primary as the tumor stains positive for synaptophysin and chromogranin on immu nohistochemistry. It is a high grade, aggressive tumor with a high Ki67 proliferation index of 70%. Regimens designed for extensive stage small cell lung cancer (platinum and etoposide) are generally used for treatment of this disease. Octreotide can be used in patients with unresectable or metastatic gastrointestinal neuroendocrine carcinoma or carcinoid syndrome, but would be inappropriate in this patient with aggressive small cell histology. Everolimus and temozolomide and capecitabine are options in refrac tory unresectable or metastatic gastrointestinal neuroen docrine carcinoma, and gemcitabine and nab paclitaxel is a treatment option in patients with metastatic pancreatic adenocarcinoma."
Which of  the following serum laboratory tests is most likely to be  elevated in this patient,D,"This patient presents with malignant ascites and positive as citic fluid cytology for CK20 and CDX 2, which are indicative of metastatic colorectal adenocarcinoma. Serum CEA is most commonly elevated in these patients. CA19 9 is elevated in pancreaticobiliary cancers, PSA in prostate cancer, CA125 in ovarian cancer, and AFP in hepatocellular carcinoma."
A 58-year-old man with a 50-pack-year smoking history pre - sents with an enlarged right cervical that he first noticed 2  months ago. A fine needle aspirate reveals squamous cell car - cinoma. A triple endoscopy is recommended for this patient.  Which of the following comprise a triple endoscopy,B,"Triple endoscopy for the workup of occult head and neck squamous cell carcinoma consists of esophagogastroduo denoscopy, laryngoscopy, and bronchoscopy to differenti ate squamous cell carcinoma of the esophagus, orophar ynx/larynx, and lung, respectively."
Cerebrospinal fluid  cytology is negative. PET-CT does not reveal any signifi - cant findings. Which of the following is the most appropri - ate initial treatment for this patient,A,"The patient has a primary central nervous system lym phoma (PCNSL) as evidenced by characteristic findings on MRI and immunohistochemical staining pattern. Appropri ate induction therapy consists of high dose methotrexate (MTX) plus rituximab (temozolomide can also be included). Another induction option is MTX 3.5 g/m2 with radiation and either vincristine, procarbazine, and cytarabine (with or without rituximab), or ifosfamide. Chemoradiation with temozolomide is appropriate for the treatment of glioblasto ma multiforme following surgical resection. Surgery has no established role in the management of PCNSL in the absence of impending herniation. Whole brain radiation therapy is a viable option for patients who would not tolerate chemo therapy, and a high dose chemotherapy regimen with stem cell rescue can be used as consolidation therapy for patients in complete remission following high dose MTX."
Which of the following is true regarding the use of molecu - lar profiling in the management of patients with a carci - noma of unknown primary,B,"Molecular profiling has become more commonplace in the clinic for use in carcinomas of unknown primary. In a single arm prospective study, a 92 gene assay was as sociated with a median overall survival of 12.5 months in carcinoma of unknown primary patients treated with assay directed therapy. However, there are no prospective randomized trials demonstrating such a survival benefit compared with immunohistochemical analysis, and no cost effectiveness has been shown. BRAF V600E mutations can predict the response to single agent vemurafenib in metastatic melanoma, but this finding does not hold true for metastatic BRAF mutant colorectal cancer. There is no specific FDA approval for this technology for use in the diagnosis of carcinoma of unknown primary."
What percentage of carcinomas of unknown primary are  adenocarcinomas,C,"Approximately 48% of carcinomas of unknown primary are adenocarcinomas. Squamous cell carcinoma accounts for around 14%, while epithelial/unspecified and undif ferentiated tumors account for 28% and 2%, respectively. In the United States, 33,770 cancers annually are classified as being from an unspecified primary site. BIBLIOGRAPHY"
"She had been in remis - sion for 5 years and presented with progressive headaches  for 1 month, and for the last 2 days, she developed with  nausea, vomiting, and blurry vision. On the exam, she has  papilledema and her gait is impaired. A brain MRI with  gadolinium showed a noncommunicating hydrocephalus  and leptomeningeal enhancement but no brain metasta - ses. She then underwent a lumbar puncture with opening  pressure of 30 cm of water, and CSF cytology was positive  for carcinoma. Which of the following is correct about in - trathecal chemotherapy",A,"The correct response is intra CSF chemotherapy through lumbar puncture or through an Ommaya reservoir is con traindicated because of the increased intracranial pres sure and hydrocephalus. Increased intracranial pressure or hydrocephalus are contraindications for intrathecal or intra Ommaya chemotherapy, because they imply abnor mal CSF flow, which compromises CSF drug distribution, treatment efficacy, and significantly increases neurotoxic ity at the site of CSF injection. Intra CSF chemotherapy is more established in certain subtypes of leukemias and lymphomas, and no randomized trial has cleared demon strated a survival benefit in leptomeningeal metastases from solid tumors. Intrathecal trastuzumab is currently in early phase trials for HER2 positive leptomeningeal metastases, but no efficacy data are available. Leptome ningeal metastases tend to be a terminal event in meta static cancer patients; the median survival of solid tumors leptomeningeal metastases was only 2.3 months in a large retrospective series."
"A 61-year-old woman presented with progressive apa - thy, personality changes, and aphasia and underwent  a brain MRI, which showed a large left-frontal mass  originating from the dura mater but invading the brain  and causing vasogenic brain edema. She underwent a  craniotomy and partial tumor resection because the por - tion of the tumor invading the brain could not be safely  resected. Pathology was compatible with a WHO grade  3 (anaplastic) meningioma. The tumor had rhabdoid fea -tures and ≥20 mitoses per high-powered field. What is  the recommended next step for this patient",C,"The correct answer is involved field radiation to the residual tumor and tumor margin. Meningiomas are graded in the WHO classification as benign (grade I, about 80% of cases), atypical (grade II, 17% of cases), and anaplastic (grade III, 3% of cases). Malignant meningiomas are locally aggressive neoplasms with a very high rate of recurrence or progression, even after gross total resection. Distant systemic metastases are uncommon. Adjuvant focal RT is a standard component of initial management for all malignant meningiomas, regardless of the extent of resection, to improve local control and over all survival. In a series of 63 patients with anaplastic (WHO grade III) meningiomas treated with surgery and radiation, recurrence free survival rates at 2, 5, and 10 years after initial therapy were 80%, 57%, and 40%, respectively, and overall survival rates were 82%, 61%, and 40%. There are no known medical treatments with activity against meningiomas.Malignancies of the Central Nervous System 230"
5  cm on the immediate postsurgical scan. What is the best  next step for this patient,B,"The correct answer is to proceed with adjuvant temozolo mide and consider TTFields with early MRI follow up in 1–2 months. It is well known that chemoradiotherapy with te mozolomide for glioblastoma patients is associated with pro gressive and enhancing lesions on MRI, noted immediately after the end of treatment, which are not related to tumor progression, but which are a treatment effect. This so called pseudoprogression can occur in up to 20% of patients who have been treated with temozolomide chemoradiotherapy and can explain about half of all cases of increasing lesions after the end of this treatment. These lesions decrease in size or stabilize without additional treatments and often remain clinically asymptomatic. Pseudoprogression occurs more of ten in glioblastomas with methylated MGMT promoter and continuation of temozolomide and clinical confirmation of pseudoprogression may be associated with better outcomes. Moving to a second line therapy too quickly based on first MRI post chemoradiotherapy is not recommended in this situation, especially when MRI changes are asymptomatic. The recent trial EF 14 showed that addition of TTFields to adjuvant temozolomide after chemoradiotherapy improves outcomes. Median overall survival was 20.5 months in the TTFields plus temozolomide group ( n = 196) and 15.6 months in the temozolomide alone group ( n = 84) (HR = 0.64, P = 0.004). TTFields have been FDA approved for the first line glioblastoma therapy based on these results. There are no targeted drugs with proven activity against EGFRviii glioblastomas, and trials of EGFR tyrosine kinase inhibitors and peptide vaccine rindopepimut have been disappointing."
"A 55-year-old woman had a successful initial treatment of her  primary CNS lymphoma with a combination of chemothera - py with high-dose methotrexate, high-dose cytarabine, ritux - imab, and radiation, and she has been in clinical remission for  18 months. She initially presented with right-sided hemipa - resis and aphasia, but the neurological deficits resolved com - pletely, and she continues to have no deficits on the bedside  exam. For the last 2 months, however, she has progressive  visual floaters and was diagnosed with uveitis by her local  ophthalmologist. She was started on topical dexamethasone  eyedrops since last week with partial improvement of the CHAPTER 31 Malignancies of the Central   Nervous System Fabio M. Iwamoto and Andrew B. LassmanMalignancies of the Central Nervous System 229 symptoms. What are the most likely diagnosis and the next  diagnostic procedure",E,"The correct response is ocular involvement by lymphoma and slit lamp exam by an ophthalmologist. About 30% of the recurrences of primary central nervous system (CNS) lymphoma involve the eyes. Visual floaters, uveitis, and visual loss are the most common presentations. Slit lamp is a low power microscope combined with a high intensity light source that can be focused as a thin beam to better exam the eye. Ocular involvement usually affects the posterior seg ment of the eye, including the vitreous, choroid, or retina, with subsequent development of uveitis, exudative retinal detachment, and retinal or vitreous hemorrhages. Diag nosis can be made clinically with the slit lamp in patients with known primary CNS lymphoma or by biopsy of the involved vitreous, choroid, or retina in less typical cases."
"A 20-year-old man presented with progressive headaches,  ataxia, and dysarthria. A brain MRI showed a 3-cm right  cerebellar lesion with gadolinium enhancement and dif - fusion restriction. He underwent a craniotomy and gross  total resection of the tumor, and pathology was compatible  with a medulloblastoma (WHO grade IV). His total spine  MRI with gadolinium and his CSF cytology were negative  for tumor. What is the recommended treatment for this  patient with standard risk medulloblastoma and a gross  totally resected tumor",C,"The correct answer is craniospinal radiation with lomus tine, cisplatin, and vincristine. Patients older than 3 years of age at diagnosis with totally or near totally resected, non disseminated disease (average risk) still need to undergo craniospinal radiation because of the high risk of neuroaxis tumor dissemination. Younger patients are at highest risk of severe cognitive, developmental, and endocrinological abnormalities with craniospinal radiation. Over the last few decades, craniospinal radiation doses have been re duced from 3600 cGy to 2340 cGy and chemotherapy has been added. The most commonly used regimen involves lomustine, cisplatin, and vincristine. The 5 year event free survival and overall survival are above 80% for standard risk medulloblastoma patients treated with craniospinal radiation and chemotherapy."
"In situ hy - bridization for EBER-1–mRNA was negative. Extent of dis - ease workup showed no ocular involvement by a slit-lamp  exam, CSF cytology and flow cytometry were negative,  and body PET-CT and bone marrow biopsy were negative.   Patient was started on dexamethasone with neurological  and performance status improvement. He had no history  of iatrogenic immunosuppression, his serum HIV was  negative,  and the diagnosis was compatible with a prima - ry central nervous system lymphoma in an immunocom - petent individual. What is the best first step in treatment",D,"The correct is answer is high dose methotrexate in combination with other drugs such as rituximab, high dose cytarabine, and thiotepa. Until the 1990s, primary central nervous system lymphoma was often treated with whole brain radiation (WBRT) alone. Although this is a radiosensitive tumor, relapses were frequent, and the median survival on the RTOG 8315 trial was only 11.6 months. The addition of a high dose methotrexate based regimen to WBRT on the single arm RTOG 9310 trial increased the median overall survival to 36.9 months. The best combination of drugs in addition to high dose metho trexate is not defined, but randomized trials through the IESLG showed that addition of high dose cytarabine, ritux imab, and thiotepa improved outcomes. CHOP has no role in PCNSL due to poor blood brain barrier penetration and a negative randomized trial showing its lack of efficacy. In tra CSF therapy has very limited penetration into the brain parenchyma disease but could be useful in patients with positive CSF. Autologous stem cell transplant is under in vestigation as a consolidation regimen after induction with high dose methotrexate based regimens."
"A 27-year-man was diagnosed with tuberous sclerosis as a  child when he presented with seizures, facial angiofibro - mas, cognitive impairment, and retinal and brain hamarto - mas. He was lost to follow-up and was admitted through  the emergency room because of progressive headaches  and left hemiparesis. His brain MRI showed a 5-cm dif - fusely enhancing lesion in the deep right cerebral hemi - sphere and mild hydrocephalus. Patient underwent a par - tial resection of the tumor. Pathology was compatible with  a subependymal giant cell astrocytoma. What is the best  next step for this patient",E,"The correct answer is the mammalian target of rapamycin (mTOR) inhibitor everolimus. Tuberous sclerosis complex is a genetic disorder leading to constitutive activation of mTOR and growth of benign tumors in several organs. In the brain, growth of subependymal giant cell astrocyto mas can cause life threatening symptoms such as hydro cephalus, requiring surgery. EXIST 1 was a double blind, placebo controlled, phase 3 trial, where patients (aged 0–65 years) were randomly assigned, in a 2:1 ratio to oral everoli mus 4·5 mg/m2 per day (titrated to achieve blood trough concentrations of 5–15 ng/mL) or placebo. In addition, 117 patients were randomly assigned to everolimus ( n=78) or placebo ( n=39). There were 27 (35%) patients in the everoli mus group had at least 50% reduction in the volume of subependymal giant cell astrocytomas versus none in the placebo group ( P<.0001). BIBLIOGRAPHY"
"A 45-year-old woman had a seizure. Noncontrast CT of  the head shows a hypodense abnormality in the right  frontal lobe with small internal foci of calcification. Brain  MRI shows a 3-cm lesion that is hyperintense on T2 se - quences with subtle enhancement following injection of  gadolinium contrast. Gross-total resection demonstrates  anaplastic oligodendroglioma (World Health Organiza - tion grade III). Molecular analyses demonstrate 1p19q  co-deletion, IDH1 mutation, and MGMT promoter meth - ylation. Seizures are well controlled with levetiracetam  without other signs or symptoms. Performance status is  normal. What phase III supported treatment do you rec - ommend",B,"The correct answer is RT before/after chemotherapy with PCV . Observation would not be appropriate for a high grade (WHO grade III, anaplastic) glioma. 1p19q co deletion is a diagnostic marker of oligodendroglioma histology and is rare in astrocytomas or other glioma subtypes. It is also a favorable prognostic marker regardless of treatment. Finally, it is predictive of benefit from DNA alkylator chem otherapy as demonstrated by long term results of RTOG and EORTC phase III studies. Patients with 1p19q co delet ed anaplastic oligodendroglial tumors lived about twice as long following RT+PCV than RT alone. In RTOG 9402 sur vival was 14.7 versus 7.3 years ( P = .03, hazard ratio 0.59), and in EORTC 26951 survival was not reached versus 9.3 years ( P = .0594, hazard ratio 0.56). Although the EORTC results didn’t quite reach traditional measures of statistical significance ( P < .05), this analysis (survival in 1p19q de leted cases) was not preplanned or powered for survival, as the importance of 1p19q deletion was not elucidated until after the trial was designed. Of note, the RTOG trial used four cycles of “neoadjuvant” (pre RT) “intensive” PCV (with higher doses of each drug and shorter cycles) and the EORTC trial used up to 6 cycles of post RT adjuvant PCV at standard dosing. Accordingly, RT alone is inadequate. Bevacizumab prolongs progression free survival in newly diagnosed and recurrent glioblastoma, and may have a role in other gliomas, but bevacizumab alone would not be appropriate treatment. Some investigators would ad vocate for chemotherapy alone and would replace PCV by temozolomide. The Phase III Intergroup Study of RT versus Temozolomide Alone versus RT with Concomitant and Ad juvant Temozolomide for Patients with 1p/19q Codeleted Anaplastic Glioma (the “CODEL” trial) led by the Alliance for Clinical Trials in Oncology (formerly the North Central Cancer Treatment Group) originally randomized patients to RT alone, RT with concurrent and adjuvant temozolo mide, or temozolomide alone in an exploratory arm. After mature results from RTOG 9402 (and then EORTC 26951) became available, that trial was redesigned, and the RT arm was replaced by RT and PCV (at standard dosing)."
She is  on phenytoin for seizures. Her performance status is nor - mal. Which of the following do you recommend,C,"The correct answer is RT and concurrent temozolomide fol lowed by adjuvant temozolomide and GBM and NovoTTF. EORTC trial 22981 26981 NCIC trial CE.3 demonstrated that RT with concurrent temozolomide followed by 6 cy cles of temozolomide improved survival versus RT alone; thus, RT alone is inadequate (median survival 14.6 vs. 12.1 months, hazard ratio 0.63, P < .001). The 5 year follow up also demonstrated a sustained benefit from temozolomide. Of note, PCP prophylaxis is recommended during concur rent treatment. GBM is a highly vascular tumor, but beva cizumab has not been shown to improve survival in newly diagnosed or recurrent disease. For example, two rand omized studies for newly diagnosed GBM (RTOG 0825 and AVAglio) found prolonged progression free survival (PFS) but not overall survival (OS) by adding bevacizumab to RT and TMZ for newly diagnosed GBM versus placebo. Similarly, EORTC trial 26101 found improved PFS but not OS for bevacizumab added to lomustine versus lomustine alone for recurrent GBM. Regardless, bevacizumab alone without RT or temozolomide is not supported by clinical trial data. Studies in elderly patients have suggested the temozolomide alone in the context of MGMT methyla tion is a reasonable option, but it is not a reasonable op tion in younger patients such as in this case. Checkpoint and PD1 inhibitors are under investigation in various clini cal trials for gliomas. Finally, a recent phase III trial also demonstrated improved PFS and OS from the addition of NovoTTF, a device that delivers low intensity, intermediate frequency electric fields when worn on the scalp (median PFS 7.1 months vs. 4.0 months, hazard ratio 0.62, P = .001; median OS 20.5 months vs. 15.6 months, hazard ration 0.64, P = .004). However, that trial has been criticized for lack ing a placebo control, and it has not gained widespread use yet. Therefore, RT and concurrent temozolomide followed by adjuvant temozolomide without NovoTTF remains the most commonly used approach."
What do you  recommend,A,"The correct answer is lomustine. The combination of beva cizumab and lomustine was studied definitively in Eu ropean Organisation for the Research and Treatment of Cancer (EORTC) trial 26101; patients were randomized to lomustine or lomustine and bevacizumab. There was im proved progression free survival from the addition of bev acizumab but not overall survival. Therefore, controversy remains whether the risks and costs of bevacizumab are warranted versus lomustine alone. Notwithstanding such controversy, bevacizumab increases the risk of surgical wound dehiscence and should be deferred until 4 weeks or more postoperatively. Carboplatin alone has limited to Malignancies of the Central Nervous System 233 no efficacy in recurrent GBM. Lomustine alone is the most reasonable choice of the options presented, but has limited efficacy (median PFS ∼2 months, median OS ∼9 months); accordingly, a clinical trial may be preferable."
What do you rec - ommend,C,"Of the options presented, treatment as a WHO grade IV GBM with RT and temozolomide is the most appropriate. There is no data to support bevacizumab alone, although small studies suggest prolonged PFS in recurrent ana plastic astrocytoma from bevacizumab. In the absence of MGMT methylation, temozolomide alone will likely have limited efficacy and is not a widely accepted treatment, although one study from the Neurooncology Working Group of the German Cancer Society (NOA 04) suggested noninferiority of primary chemotherapy followed by radiotherapy at recurrence. As a high grade tumor, obser vation is not appropriate. There is no data to suggest ipili mumab monotherapy is effective in gliomas. An ongoing international trial (phase III trial on concurrent and adju vant temozolomide chemotherapy in non 1p/19q deleted anaplastic glioma: the CATNON intergroup trial) led by the EORTC (trial 26053 22054) will definitively address the efficacy of RT and temozolomide versus RT alone for anaplastic (WHO grade III) gliomas without 1p19q co deletion."
